Status_Account_A14,credit_duration_ratio,Credit_Amount,credit_age_ratio,age_credit_interaction,Duration,Age,Status_Account_A11,Credit_History_A34,Installment_Rate,Savings_A61,Property_A121,Residence_Since,Status_Account_A12,Other_Plans_A143,Savings_A65,duration_short,Employment_A72,Other_Plans_A141,Housing_A152,Existing_Credits,Purpose_A43,Personal_Status_A93,duration_long,Personal_Status_A92,Job_A173,Employment_A74,Purpose_A40,duration_medium,Purpose_A42
0,51.28,1282,38.84848484848485,41.024,24,32,1,0,4,0,0,2,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
1,96.96,2424,44.888888888888886,128.472,24,53,0,1,4,0,0,4,0,1,1,0,0,0,1,2,1,1,0,0,1,0,0,1,0
0,260.38709677419354,8072,310.46153846153845,201.8,30,25,1,0,2,0,0,3,0,0,1,0,1,1,1,3,0,1,1,0,1,0,0,0,0
0,503.16,12579,279.53333333333336,553.476,24,44,0,0,4,1,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,137.2,3430,107.1875,106.33,24,31,0,0,3,0,0,2,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0
1,213.4,2134,43.55102040816327,102.432,9,48,0,1,4,1,0,4,0,1,0,1,0,0,1,3,0,1,0,0,1,0,1,0,0
0,378.14285714285717,2647,58.82222222222222,116.468,6,44,1,0,2,0,1,3,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
0,203.72727272727272,2241,45.734693877551024,107.568,10,48,1,1,1,1,1,3,0,1,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0
0,138.76923076923077,1804,40.08888888888889,79.376,12,44,0,1,3,0,0,4,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
1,188.0909090909091,2069,76.62962962962963,53.794,10,26,0,1,2,0,0,1,0,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,1
0,196.28571428571428,1374,37.13513513513514,49.464,6,36,1,0,1,1,1,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1
1,60.857142857142854,426,10.65,16.614,6,39,0,0,4,1,0,4,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,31.46153846153846,409,9.511627906976743,17.178,12,42,0,0,3,0,1,3,0,1,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0
0,301.875,2415,69.0,82.11,7,34,0,0,3,1,1,2,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0
0,112.06557377049181,6836,106.8125,430.668,60,63,1,0,3,1,0,4,0,1,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0
0,100.6842105263158,1913,51.7027027027027,68.868,18,36,0,0,3,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0
0,160.8,4020,143.57142857142858,108.54,24,27,1,0,2,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
0,308.7368421052632,5866,189.2258064516129,175.98,18,30,0,0,2,0,0,2,1,1,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0
1,97.23076923076923,1264,21.79310344827586,72.048,12,57,0,1,4,0,0,4,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,113.38461538461539,1474,43.35294117647059,48.642,12,33,0,0,4,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1
0,103.17391304347827,4746,182.53846153846155,118.65,45,25,0,1,4,1,0,2,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0
1,124.6938775510204,6110,190.9375,189.41,48,31,0,1,1,1,0,3,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
0,110.52631578947368,2100,55.26315789473684,77.7,18,37,0,0,4,1,1,2,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0
0,111.36363636363636,1225,32.23684210526316,45.325,10,37,0,0,2,1,0,2,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
0,45.8,458,18.32,10.992,9,24,0,0,4,1,1,3,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0
1,75.25806451612904,2333,75.25806451612904,69.99,30,30,0,0,4,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
0,89.07692307692308,1158,42.888888888888886,30.108,12,26,0,0,3,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
0,326.5263157894737,6204,137.86666666666667,272.976,18,44,0,0,2,1,1,4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
0,199.58064516129033,6187,247.48,148.488,30,24,1,1,1,0,0,4,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0
0,125.36734693877551,6143,104.11864406779661,356.294,48,58,1,1,4,1,0,4,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
1,116.08333333333333,1393,38.69444444444444,48.755,11,35,0,1,4,1,0,4,0,1,0,1,1,0,1,2,0,0,0,1,0,0,1,0,0
1,62.13513513513514,2299,57.475,89.661,36,39,0,0,4,0,0,4,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
0,193.14285714285714,1352,56.333333333333336,31.096,6,23,1,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,602.3333333333334,7228,180.7,281.892,11,39,0,1,1,1,0,4,0,1,0,1,0,0,1,2,0,1,0,0,0,0,1,0,0
1,159.46153846153845,2073,71.48275862068965,58.044,12,28,0,0,4,0,1,2,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0
0,93.32,2333,77.76666666666667,67.657,24,29,0,0,4,0,0,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1
0,213.03571428571428,5965,192.41935483870967,178.95,27,30,0,0,1,1,0,2,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0
1,97.07692307692308,1262,48.53846153846154,31.55,12,25,0,0,3,1,0,2,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0
1,177.78947368421052,3378,105.5625,104.718,18,31,0,0,2,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
0,60.13513513513514,2225,38.36206896551724,126.825,36,57,0,0,4,1,0,4,1,0,0,0,0,1,0,2,0,1,1,0,1,0,1,0,0
1,111.85714285714286,783,29.0,20.358,6,26,0,0,1,0,1,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0,497.53846153846155,6468,122.0377358490566,336.336,12,52,0,0,2,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
1,258.5405405405405,9566,298.9375,296.546,36,31,0,1,2,1,0,2,0,0,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0
0,103.21052631578948,1961,81.70833333333333,45.103,18,23,0,0,3,1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
0,168.35135135135135,6229,259.5416666666667,143.267,36,23,1,1,4,1,0,4,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,0,1
0,139.1,1391,49.67857142857143,37.557,9,27,0,0,2,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
0,96.0625,1537,30.137254901960784,76.85,15,50,0,1,4,0,1,4,1,1,1,0,0,0,1,2,1,1,0,0,1,0,0,1,0
0,52.78378378378378,1953,31.5,119.133,36,61,0,0,4,1,0,4,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
0,294.3061224489796,14421,554.6538461538462,360.525,48,25,0,0,2,1,0,2,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
1,127.24,3181,117.81481481481481,82.706,24,26,0,0,4,1,0,4,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0
1,185.35714285714286,5190,105.91836734693878,249.12,27,48,0,0,4,0,0,4,0,1,1,0,0,0,1,4,0,1,1,0,1,0,0,0,0
1,167.0,2171,72.36666666666666,62.959,12,29,0,0,2,1,0,2,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
0,77.46153846153847,1007,43.78260869565217,22.154,12,22,0,0,4,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
1,49.16216216216216,1819,47.86842105263158,67.303,36,37,0,0,4,1,0,4,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
1,64.70270270270271,2394,92.07692307692308,59.85,36,25,0,0,4,0,0,4,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
1,219.8108108108108,8133,262.35483870967744,243.99,36,30,0,0,1,1,0,2,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0
1,91.25,730,15.53191489361702,33.58,7,46,0,1,4,0,0,2,0,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0
0,129.33333333333334,1164,22.384615384615383,59.364,8,51,1,1,3,1,0,4,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
0,138.46511627906978,5954,141.76190476190476,244.114,42,41,0,1,2,1,1,1,1,0,0,0,0,1,1,2,0,0,1,1,0,1,0,0,0
0,53.432432432432435,1977,48.21951219512195,79.08,36,40,1,0,4,0,0,4,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
0,117.38461538461539,1526,22.776119402985074,100.716,12,66,1,1,4,1,0,4,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
0,92.20930232558139,3965,113.28571428571429,134.81,42,34,1,0,4,1,0,3,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0
0,397.5833333333333,4771,91.75,243.321,11,51,0,0,2,1,0,4,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
1,171.56363636363636,9436,235.9,368.004,54,39,0,0,2,0,0,2,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
0,123.61290322580645,3832,166.6086956521739,84.304,30,22,0,0,2,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1
1,237.72,5943,132.06666666666666,261.492,24,44,0,0,1,0,0,1,0,1,1,0,1,0,1,2,1,0,0,1,1,0,0,1,0
1,75.8125,1213,25.270833333333332,57.011,15,47,0,0,4,0,0,3,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0
1,82.52631578947368,1568,62.72,37.632,18,24,0,0,3,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,70.2,1755,29.74576271186441,101.79,24,58,1,0,4,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
0,210.45454545454547,2315,43.679245283018865,120.38,10,52,1,0,3,1,1,4,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
1,108.61538461538461,1412,47.06666666666667,40.948,12,29,0,1,4,1,1,2,0,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0
0,68.15789473684211,1295,46.25,34.965,18,27,0,1,4,1,0,1,1,1,0,0,1,0,1,2,0,0,0,1,1,0,0,1,1
0,340.86486486486484,12612,262.75,592.764,36,47,0,0,1,0,0,4,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
0,118.36842105263158,2249,72.54838709677419,67.47,18,30,1,0,4,0,0,3,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0
0,85.23076923076923,1108,38.206896551724135,31.024,12,28,1,0,4,1,1,3,0,1,0,1,0,0,1,2,0,1,0,0,1,1,0,0,0
1,47.53846153846154,618,10.842105263157896,34.608,12,56,0,1,4,1,1,4,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0
0,108.38461538461539,1409,25.618181818181817,76.086,12,54,1,1,4,1,1,3,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
1,61.30769230769231,797,23.441176470588236,26.301,12,33,0,1,4,0,0,3,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
0,144.68,3617,172.23809523809524,72.34,24,20,0,1,4,0,0,4,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,1,1
0,101.38461538461539,1318,23.963636363636365,71.172,12,54,0,0,4,0,1,4,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0
0,289.90909090909093,15945,270.2542372881356,924.81,54,58,0,0,3,1,0,4,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
1,154.76923076923077,2012,32.45161290322581,122.732,12,61,0,1,4,0,0,2,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0
0,138.0,2622,74.91428571428571,89.148,18,34,0,0,4,0,0,4,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
0,63.16216216216216,2337,63.16216216216216,84.132,36,36,0,1,4,1,1,4,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
0,336.04761904761904,7057,190.72972972972974,254.052,20,36,0,0,3,0,0,4,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0
1,58.76,1469,34.976190476190474,60.229,24,41,0,0,4,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0,62.78378378378378,2323,92.92,55.752,36,24,0,0,4,1,0,4,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0
1,133.14285714285714,932,37.28,22.368,6,24,0,0,3,1,1,2,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0
0,191.9,1919,53.30555555555556,67.165,9,35,0,1,4,1,0,3,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1,188.07692307692307,2445,90.55555555555556,63.57,12,26,0,0,2,0,0,4,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
0,477.52,11938,298.45,465.582,24,39,0,1,2,1,0,3,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0
1,339.89473684210526,6458,161.45,251.862,18,39,0,0,2,1,0,4,0,0,0,0,0,1,1,2,0,1,0,0,0,0,1,1,0
0,467.53846153846155,6078,184.1818181818182,194.496,12,32,0,0,2,1,0,2,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0
0,308.84,7721,249.06451612903226,231.63,24,30,1,0,1,0,0,2,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1
0,94.0,1410,39.166666666666664,49.35,14,35,0,0,1,0,1,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
0,207.0,1449,45.28125,44.919,6,31,0,0,1,0,0,2,1,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0
0,24.5,392,16.333333333333332,9.016,15,23,0,0,4,1,0,4,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0
0,329.4736842105263,6260,215.86206896551724,175.28,18,28,0,0,3,1,1,3,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
1,212.2972972972973,7855,302.11538461538464,196.375,36,25,0,1,4,1,1,2,0,0,0,0,0,0,1,2,0,0,1,1,1,0,1,0,0
0,129.23076923076923,1680,46.666666666666664,58.8,12,35,1,0,3,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
1,73.0204081632653,3578,74.54166666666667,168.166,48,47,0,1,4,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0
0,166.8372093023256,7174,231.41935483870967,215.22,42,30,1,0,4,0,0,3,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0
0,193.8181818181818,2132,76.14285714285714,57.564,10,27,1,1,2,0,1,3,0,1,1,1,1,0,0,2,0,0,0,1,1,0,0,0,1
0,125.91176470588235,4281,178.375,98.463,33,23,1,1,1,0,0,4,0,1,0,0,0,0,1,2,0,0,1,1,1,0,0,0,1
0,182.0,2366,63.945945945945944,85.176,12,36,0,1,3,0,0,3,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
0,83.4090909090909,1835,70.57692307692308,45.875,21,25,1,0,3,1,1,2,0,1,0,0,0,0,1,2,1,0,0,1,1,0,0,1,0
1,154.72,3868,92.0952380952381,158.588,24,41,0,1,4,1,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
1,136.0,1768,70.72,42.432,12,24,0,0,3,1,1,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,71.0,781,12.203125,49.203,10,63,0,1,4,1,0,4,0,1,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0
0,101.26315789473684,1924,68.71428571428571,51.948,18,27,0,0,4,0,1,3,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1
0,163.15384615384616,2121,68.41935483870968,63.63,12,30,1,1,4,1,0,2,0,1,0,1,0,0,1,2,0,1,0,0,1,0,1,0,0
0,53.92307692307692,701,17.097560975609756,28.04,12,40,1,0,4,1,1,2,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,49.15384615384615,639,20.612903225806452,19.17,12,30,0,0,4,1,0,2,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
0,143.07692307692307,1860,53.142857142857146,63.24,12,34,0,1,4,1,0,2,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0
0,269.15384615384613,3499,116.63333333333334,101.471,12,29,1,1,3,1,1,2,0,1,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0
0,173.20408163265307,8487,339.48,203.688,48,24,0,0,1,0,0,2,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0
0,186.13513513513513,6887,229.56666666666666,199.723,36,29,1,0,4,1,0,3,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
1,169.25,2708,96.71428571428571,73.116,15,27,0,0,2,1,0,3,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,1,1
1,104.42105263157895,1984,41.333333333333336,93.248,18,47,0,0,4,1,0,4,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,1
1,166.29508196721312,10144,461.09090909090907,213.024,60,21,0,0,2,0,1,4,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0
1,95.38461538461539,1240,31.794871794871796,47.12,12,38,0,1,4,0,1,2,0,1,1,1,0,0,1,2,1,0,0,1,1,0,0,0,0
1,307.60714285714283,8613,307.60714285714283,232.551,27,27,0,0,2,0,0,2,0,1,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0
0,58.92307692307692,766,11.432835820895523,50.556,12,66,0,0,4,0,1,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
0,170.5,2728,75.77777777777777,95.48,15,35,0,1,4,0,1,2,1,0,1,0,0,1,1,3,1,1,0,0,1,1,0,1,0
0,144.69230769230768,1881,41.8,82.764,12,44,0,0,2,1,0,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
0,101.28571428571429,709,25.321428571428573,19.143,6,27,0,0,2,0,1,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
0,129.59459459459458,4795,154.67741935483872,143.85,36,30,0,0,4,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
0,122.0,3416,122.0,92.232,27,27,1,0,3,1,0,2,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
0,129.57894736842104,2462,107.04347826086956,54.164,18,22,1,0,2,1,0,2,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
1,104.0,2288,95.33333333333333,52.624,21,23,0,1,4,1,0,4,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1
0,72.77551020408163,3566,115.03225806451613,106.98,48,30,0,0,4,0,0,2,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
0,122.85714285714286,860,21.5,33.54,6,39,1,1,1,1,0,4,0,1,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0
1,52.46153846153846,682,13.115384615384615,34.782,12,51,0,1,4,0,0,3,0,1,0,1,0,0,1,2,0,0,0,1,1,1,1,0,0
0,145.16216216216216,5371,185.20689655172413,150.388,36,28,1,1,3,1,0,2,0,1,0,0,0,0,1,2,0,1,1,0,1,0,0,0,1
1,83.26315789473684,1582,33.659574468085104,72.772,18,46,0,1,4,0,0,4,0,1,0,0,0,0,1,2,1,1,0,0,1,0,0,1,0
1,192.28571428571428,1346,31.302325581395348,56.532,6,42,0,0,2,0,0,4,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0
1,174.9090909090909,1924,49.333333333333336,73.112,10,38,0,0,1,1,0,4,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0
0,158.05405405405406,5848,233.92,140.352,36,24,0,0,4,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
0,310.32,7758,258.6,224.982,24,29,0,1,2,0,0,4,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
0,278.68,6967,188.2972972972973,250.812,24,36,0,0,4,0,0,4,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0,98.61538461538461,1282,61.04761904761905,25.64,12,20,1,0,2,1,0,4,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
0,128.8,1288,26.285714285714285,61.824,9,48,1,1,3,0,1,4,0,1,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0
0,26.076923076923077,339,7.369565217391305,15.255,12,45,1,0,4,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
0,140.48,3512,90.05128205128206,133.456,24,38,0,0,2,0,0,3,1,0,0,0,0,1,1,2,0,1,0,0,1,1,1,1,0
1,271.14285714285717,1898,54.22857142857143,64.532,6,34,0,1,1,0,1,2,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0
1,114.88,2872,77.62162162162163,103.392,24,36,0,1,3,0,1,4,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0
1,55.526315789473685,1055,34.03225806451613,31.65,18,30,0,1,4,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,0,1,1,0
1,78.875,1262,34.108108108108105,45.432,15,36,0,0,4,0,0,3,0,1,0,0,0,0,1,2,0,1,0,0,1,1,0,1,0
0,664.3636363636364,7308,102.92957746478874,511.56,10,70,0,0,2,1,0,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
1,24.56756756756757,909,24.56756756756757,32.724,36,36,0,0,4,0,0,4,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0
1,425.42857142857144,2978,90.24242424242425,95.296,6,32,0,0,1,0,0,2,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1
0,59.526315789473685,1131,33.26470588235294,37.323,18,33,1,0,4,1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1
0,131.41666666666666,1577,75.0952380952381,31.54,11,20,0,0,4,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1
1,158.88,3972,152.76923076923077,99.3,24,25,0,0,2,1,0,4,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1
0,77.4,1935,60.46875,59.985,24,31,0,1,4,1,1,4,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0
0,59.375,950,27.941176470588236,31.35,15,33,1,0,4,1,0,3,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0
1,58.69230769230769,763,28.25925925925926,19.838,12,26,0,0,4,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1
0,82.56,2064,58.97142857142857,70.176,24,34,0,0,3,1,0,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
0,157.11111111111111,1414,41.588235294117645,46.662,8,33,0,0,4,1,1,2,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0
0,155.1818181818182,3414,126.44444444444444,88.764,21,26,1,0,2,1,0,1,0,1,0,0,1,0,1,2,0,1,0,0,1,0,0,1,0
1,241.4516129032258,7485,138.61111111111111,396.705,30,53,0,0,4,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0
0,198.23076923076923,2577,59.93023255813954,108.234,12,42,1,0,2,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
0,48.285714285714285,338,6.377358490566038,17.576,6,52,1,1,4,0,0,4,0,1,0,1,0,0,1,2,1,1,0,0,1,0,0,0,0
1,151.0,1963,61.34375,60.853,12,31,0,0,4,1,0,2,0,1,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0
0,25.954545454545453,571,8.651515151515152,37.115,21,65,1,1,4,1,1,4,0,1,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0
1,258.7027027027027,9572,330.0689655172414,268.016,36,28,0,0,1,1,0,1,0,1,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0
0,120.4054054054054,4455,143.70967741935485,133.65,36,30,0,0,2,1,1,2,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0
0,74.86363636363636,1647,40.170731707317074,65.88,21,40,1,0,4,0,0,2,0,1,1,0,0,0,1,2,0,1,0,0,0,0,1,1,0
1,151.08,3777,74.05882352941177,188.85,24,50,0,1,4,0,1,4,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
0,46.526315789473685,884,23.89189189189189,31.824,18,36,0,1,4,1,0,4,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0
