Duration,Credit_Amount,Installment_Rate,Residence_Since,Age,Existing_Credits,Num_Dependents,Risk,age_young,age_middle,age_senior,credit_low,credit_medium,credit_high,duration_short,duration_medium,duration_long,credit_duration_ratio,credit_age_ratio,age_credit_interaction,Status_Account_A11,Status_Account_A12,Status_Account_A13,Status_Account_A14,Credit_History_A30,Credit_History_A31,Credit_History_A32,Credit_History_A33,Credit_History_A34,Purpose_A40,Purpose_A41,Purpose_A410,Purpose_A42,Purpose_A43,Purpose_A44,Purpose_A45,Purpose_A46,Purpose_A48,Purpose_A49,Savings_A61,Savings_A62,Savings_A63,Savings_A64,Savings_A65,Employment_A71,Employment_A72,Employment_A73,Employment_A74,Employment_A75,Personal_Status_A91,Personal_Status_A92,Personal_Status_A93,Personal_Status_A94,Other_Debtors_A101,Other_Debtors_A102,Other_Debtors_A103,Property_A121,Property_A122,Property_A123,Property_A124,Other_Plans_A141,Other_Plans_A142,Other_Plans_A143,Housing_A151,Housing_A152,Housing_A153,Job_A171,Job_A172,Job_A173,Job_A174,Telephone_A191,Telephone_A192,Foreign_Worker_A201,Foreign_Worker_A202
10,2241,1,3,48,2,2,0,0,1,0,1,0,0,1,0,0,203.72727272727272,45.734693877551024,107.568,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
12,1804,3,4,44,1,1,0,0,1,0,1,0,0,1,0,0,138.76923076923077,40.08888888888889,79.376,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
10,2069,2,1,26,2,1,0,0,1,0,1,0,0,1,0,0,188.0909090909091,76.62962962962963,53.794,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
6,1374,1,2,36,1,1,0,0,1,0,1,0,0,1,0,0,196.28571428571428,37.13513513513514,49.464,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
6,426,4,4,39,1,1,0,0,1,0,1,0,0,1,0,0,60.857142857142854,10.65,16.614,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
12,409,3,3,42,2,1,0,0,1,0,1,0,0,1,0,0,31.46153846153846,9.511627906976743,17.178,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
7,2415,3,2,34,1,1,0,0,1,0,1,0,0,1,0,0,301.875,69.0,82.11,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
60,6836,3,4,63,2,1,1,0,0,1,0,0,1,0,0,1,112.06557377049181,106.8125,430.668,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0
18,1913,3,3,36,1,1,0,0,1,0,1,0,0,0,1,0,100.6842105263158,51.7027027027027,68.868,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
24,4020,2,2,27,1,1,0,0,1,0,0,1,0,0,1,0,160.8,143.57142857142858,108.54,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
18,5866,2,2,30,2,1,0,0,1,0,0,0,1,0,1,0,308.7368421052632,189.2258064516129,175.98,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
12,1264,4,4,57,1,1,0,0,1,0,1,0,0,1,0,0,97.23076923076923,21.79310344827586,72.048,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0
12,1474,4,1,33,1,1,0,0,1,0,1,0,0,1,0,0,113.38461538461539,43.35294117647059,48.642,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
45,4746,4,2,25,2,1,1,0,1,0,0,1,0,0,0,1,103.17391304347827,182.53846153846155,118.65,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
48,6110,1,3,31,1,1,0,0,1,0,0,0,1,0,0,1,124.6938775510204,190.9375,189.41,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0
18,2100,4,2,37,1,1,1,0,1,0,1,0,0,0,1,0,110.52631578947368,55.26315789473684,77.7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
10,1225,2,2,37,1,1,0,0,1,0,1,0,0,1,0,0,111.36363636363636,32.23684210526316,45.325,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
9,458,4,3,24,1,1,0,1,0,0,1,0,0,1,0,0,45.8,18.32,10.992,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
30,2333,4,2,30,1,1,0,0,1,0,1,0,0,0,0,1,75.25806451612904,75.25806451612904,69.99,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
12,1158,3,1,26,1,1,0,0,1,0,1,0,0,1,0,0,89.07692307692308,42.888888888888886,30.108,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
18,6204,2,4,44,1,2,0,0,1,0,0,0,1,0,1,0,326.5263157894737,137.86666666666667,272.976,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
30,6187,1,4,24,2,1,0,1,0,0,0,0,1,0,0,1,199.58064516129033,247.48,148.488,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
48,6143,4,4,58,2,1,1,0,1,0,0,0,1,0,0,1,125.36734693877551,104.11864406779661,356.294,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
11,1393,4,4,35,2,1,0,0,1,0,1,0,0,1,0,0,116.08333333333333,38.69444444444444,48.755,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
36,2299,4,4,39,1,1,0,0,1,0,1,0,0,0,0,1,62.13513513513514,57.475,89.661,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
6,1352,1,2,23,1,1,0,1,0,0,1,0,0,1,0,0,193.14285714285714,56.333333333333336,31.096,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
11,7228,1,4,39,2,1,0,0,1,0,0,0,1,1,0,0,602.3333333333334,180.7,281.892,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
12,2073,4,2,28,1,1,0,0,1,0,1,0,0,1,0,0,159.46153846153845,71.48275862068965,58.044,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
24,2333,4,2,29,1,1,0,0,1,0,1,0,0,0,1,0,93.32,77.76666666666667,67.657,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
27,5965,1,2,30,2,1,0,0,1,0,0,0,1,0,0,1,213.03571428571428,192.41935483870967,178.95,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
12,1262,3,2,25,1,1,0,0,1,0,1,0,0,1,0,0,97.07692307692308,48.53846153846154,31.55,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
18,3378,2,1,31,1,1,0,0,1,0,0,1,0,0,1,0,177.78947368421052,105.5625,104.718,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
36,2225,4,4,57,2,1,1,0,1,0,1,0,0,0,0,1,60.13513513513514,38.36206896551724,126.825,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0
6,783,1,2,26,1,2,0,0,1,0,1,0,0,1,0,0,111.85714285714286,29.0,20.358,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
12,6468,2,1,52,1,1,1,0,1,0,0,0,1,1,0,0,497.53846153846155,122.0377358490566,336.336,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0
36,9566,2,2,31,2,1,0,0,1,0,0,0,1,0,0,1,258.5405405405405,298.9375,296.546,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
18,1961,3,2,23,1,1,0,1,0,0,1,0,0,0,1,0,103.21052631578948,81.70833333333333,45.103,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
36,6229,4,4,23,2,1,1,1,0,0,0,0,1,0,0,1,168.35135135135135,259.5416666666667,143.267,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
9,1391,2,1,27,1,1,0,0,1,0,1,0,0,1,0,0,139.1,49.67857142857143,37.557,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
15,1537,4,4,50,2,1,0,0,1,0,1,0,0,0,1,0,96.0625,30.137254901960784,76.85,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
36,1953,4,4,61,1,1,1,0,0,1,1,0,0,0,0,1,52.78378378378378,31.5,119.133,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
48,14421,2,2,25,1,1,1,0,1,0,0,0,1,0,0,1,294.3061224489796,554.6538461538462,360.525,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
24,3181,4,4,26,1,1,0,0,1,0,0,1,0,0,1,0,127.24,117.81481481481481,82.706,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
27,5190,4,4,48,4,2,0,0,1,0,0,0,1,0,0,1,185.35714285714286,105.91836734693878,249.12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
12,2171,2,2,29,1,1,0,0,1,0,1,0,0,1,0,0,167.0,72.36666666666666,62.959,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
12,1007,4,1,22,1,1,0,1,0,0,1,0,0,1,0,0,77.46153846153847,43.78260869565217,22.154,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
36,1819,4,4,37,1,1,1,0,1,0,1,0,0,0,0,1,49.16216216216216,47.86842105263158,67.303,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0
36,2394,4,4,25,1,1,0,0,1,0,1,0,0,0,0,1,64.70270270270271,92.07692307692308,59.85,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
36,8133,1,2,30,1,1,0,0,1,0,0,0,1,0,0,1,219.8108108108108,262.35483870967744,243.99,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
7,730,4,2,46,2,1,0,0,1,0,1,0,0,1,0,0,91.25,15.53191489361702,33.58,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
8,1164,3,4,51,2,2,0,0,1,0,1,0,0,1,0,0,129.33333333333334,22.384615384615383,59.364,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0
42,5954,2,1,41,2,1,0,0,1,0,0,0,1,0,0,1,138.46511627906978,141.76190476190476,244.114,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
36,1977,4,4,40,1,1,1,0,1,0,1,0,0,0,0,1,53.432432432432435,48.21951219512195,79.08,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0
12,1526,4,4,66,2,1,0,0,0,1,1,0,0,1,0,0,117.38461538461539,22.776119402985074,100.716,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0
42,3965,4,3,34,1,1,1,0,1,0,0,1,0,0,0,1,92.20930232558139,113.28571428571429,134.81,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
11,4771,2,4,51,1,1,0,0,1,0,0,1,0,1,0,0,397.5833333333333,91.75,243.321,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
54,9436,2,2,39,1,2,0,0,1,0,0,0,1,0,0,1,171.56363636363636,235.9,368.004,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
